M,Date,Match,Venue No.,Location
1.0,Sun 28 Aug 2022,Smashers VS. Brampton Rangers Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
2.0,Sun 28 Aug 2022,Pegasus VS. Spartans Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
3.0,Sun 28 Aug 2022,11 Man Army VS. Phoenix 11 Scorecard,22,"Dorset Public School. 100 Dorset Drive, Brampton, ON L6T 2Y9"
4.0,Sun 28 Aug 2022,Brampton Gladiators VS. Enterprise Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
5.0,Sun 28 Aug 2022,Masters VS. Aces Cricket Club Scorecard,44,"Thackeray Park, 2955 Kipling Ave M5H 2N2"
6.0,Sun 28 Aug 2022,Wildfiya VS. Cool Runningz Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
7.0,Sun 28 Aug 2022,Industry CC VS. Panthers Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
8.0,Sun 28 Aug 2022,Paris Sunshine VS. Fuzion SC Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road, Brampton"
9.0,Sun 11 Sep 2022,Smashers VS. 11 Man Army Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
10.0,Sun 11 Sep 2022,Masters VS. Pegasus Scorecard,44,"Thackeray Park, 2955 Kipling Ave M5H 2N2"
11.0,Sun 11 Sep 2022,Wildfiya VS. Industry CC Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
12.0,Sun 11 Sep 2022,Paris Sunshine VS. Enterprise Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road, Brampton"
13.0,Sat 17 Sep 2022,Smashers VS. Wildfiya Scorecard,62,"Dixie 407 Sports Park, 7455 Dixie Rd, Brampton"
14.0,Sat 17 Sep 2022,Masters VS. Paris Sunshine Scorecard,62,"Dixie 407 Sports Park, 7455 Dixie Rd, Brampton"
