M,Date,Match,Venue No.,Location
1.0,Sat 04 Jun 2022,Brampton Rangers VS. Guycan Tridents Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
2.0,Sat 04 Jun 2022,Wildfiya VS. Phoenix 11 Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
3.0,Sat 18 Jun 2022,Tricounty VS. Masters Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
4.0,Sat 18 Jun 2022,Fuzion SC VS. Cool Runningz Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
5.0,Sat 18 Jun 2022,Pegasus VS. Panthers Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
6.0,Sat 18 Jun 2022,Spartans VS. Brampton Rangers Scorecard,21,"Elia Middle School 215 Sentinel Rd, Toronto, ON."
7.0,Sat 18 Jun 2022,Brampton Gladiators VS. 11 Man Army Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
8.0,Sat 18 Jun 2022,Enterprise VS. Smashers Scorecard,25,"Anaka Park. 7666 Anaka Drive, Mississauga, ON L4T 3H7"
9.0,Sat 18 Jun 2022,Aces Cricket Club VS. Industry CC Scorecard,26,"Dumbarton High School, 655 Sheppard Ave. Pickering"
10.0,Sat 18 Jun 2022,Paris Sunshine VS. Wildfiya Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road"
11.0,Sat 25 Jun 2022,Pegasus VS. Smashers Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
12.0,Sat 25 Jun 2022,Spartans VS. Aces Cricket Club Scorecard,21,"Elia Middle School 215 Sentinel Rd, Toronto, ON."
13.0,Sat 25 Jun 2022,Masters VS. Brampton Gladiators Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
14.0,Sat 25 Jun 2022,Paris Sunshine VS. Fuzion SC Scorecard,44,"Robert J Lee Public School, 160 Mountainash Road, Brampton"
15.0,Sun 26 Jun 2022,Pegasus VS. Brampton Gladiators Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
16.0,Sun 26 Jun 2022,Spartans VS. Pegasus Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
17.0,Sun 26 Jun 2022,Paris Sunshine VS. Brampton Gladiators Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
