M,Date,Match,Venue No.,Location
2.0,Sun 29 May 2022,Panthers VS. Tricounty Scorecard,11,"Sir John A Macdonald Public School, 250 Centre St. Brampton"
3.0,Sun 29 May 2022,Smashers VS. Wildfiya Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
4.0,Sun 29 May 2022,Fuzion SC VS. Pegasus Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
5.0,Sun 29 May 2022,11 Man Army VS. Brampton Rangers Scorecard,22,"Dorset Public School. 100 Dorset Drive, Brampton, ON L6T 2Y9"
6.0,Sun 29 May 2022,Enterprise VS. Brampton Gladiators Scorecard,25,"Anaka Park. 7666 Anaka Drive, Mississauga, ON L4T 3H7"
7.0,Sun 29 May 2022,Aces Cricket Club VS. Masters Scorecard,26,"Dumbarton High School, 655 Sheppard Ave. Pickering"
8.0,Sun 29 May 2022,Cool Runningz VS. Guycan Tridents Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
9.0,Sun 29 May 2022,Industry CC VS. Phoenix 11 Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
10.0,Sun 29 May 2022,Paris Sunshine VS. Spartans Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road"
11.0,Sun 05 Jun 2022,Panthers VS. Smashers Scorecard,11,"Sir John A Macdonald Public School, 250 Centre St. Brampton"
12.0,Sun 05 Jun 2022,Brampton Rangers VS. Industry CC Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
13.0,Sun 05 Jun 2022,Tricounty VS. 11 Man Army Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
14.0,Sun 05 Jun 2022,Pegasus VS. Masters Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
15.0,Sun 05 Jun 2022,Spartans VS. Brampton Gladiators Scorecard,21,"Elia Middle School 215 Sentinel Rd, Toronto, ON."
16.0,Sun 05 Jun 2022,Enterprise VS. Fuzion SC Scorecard,25,"Anaka Park. 7666 Anaka Drive, Mississauga, ON L4T 3H7"
17.0,Sun 05 Jun 2022,Wildfiya VS. Cool Runningz Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
18.0,Sun 05 Jun 2022,Paris Sunshine VS. Aces Cricket Club Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road"
19.0,Sun 05 Jun 2022,Phoenix 11 VS. Guycan Tridents Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
20.0,Sun 12 Jun 2022,Tricounty VS. Smashers Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
21.0,Sun 12 Jun 2022,Fuzion SC VS. Aces Cricket Club Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
22.0,Sun 12 Jun 2022,Pegasus VS. Brampton Gladiators Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
23.0,Sun 12 Jun 2022,11 Man Army VS. Guycan Tridents Scorecard,22,"Dorset Public School. 100 Dorset Drive, Brampton, ON L6T 2Y9"
24.0,Sun 12 Jun 2022,Spartans VS. Enterprise Scorecard,21,"Elia Middle School 215 Sentinel Rd, Toronto, ON."
25.0,Sun 12 Jun 2022,Industry CC VS. Panthers Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
26.0,Sun 12 Jun 2022,Paris Sunshine VS. Masters Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road"
27.0,Sun 12 Jun 2022,Phoenix 11 VS. Wildfiya Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
28.0,Sun 19 Jun 2022,Panthers VS. Cool Runningz Scorecard,11,"Sir John A Macdonald Public School, 250 Centre St. Brampton"
29.0,Sun 19 Jun 2022,Brampton Rangers VS. Phoenix 11 Scorecard,1,Chinguacousy Secondary School 1370 Williams Parkway Brampton ON L6S 1V3
30.0,Sun 19 Jun 2022,Tricounty VS. Industry CC Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
31.0,Sun 19 Jun 2022,Pegasus VS. Spartans Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
32.0,Sun 19 Jun 2022,11 Man Army VS. Smashers Scorecard,22,"Dorset Public School. 100 Dorset Drive, Brampton, ON L6T 2Y9"
33.0,Sun 19 Jun 2022,Brampton Gladiators VS. Aces Cricket Club Scorecard,24,"B Field Hanover Public School 215 Hanover Road, Brampton"
34.0,Sun 19 Jun 2022,Masters VS. Fuzion SC Scorecard,44,"Thackeray Park, 2955 Kipling Ave M5H 2N2"
35.0,Sun 19 Jun 2022,Wildfiya VS. Guycan Tridents Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
36.0,Sun 19 Jun 2022,Paris Sunshine VS. Enterprise Scorecard,43,"Robert J Lee Public School, 160 Mountainash Road"
37.0,Sun 10 Jul 2022,Tricounty VS. Brampton Rangers Scorecard,10,"Brookview Middle School, 4505 Jane St. North York"
38.0,Sun 10 Jul 2022,Fuzion SC VS. Brampton Gladiators Scorecard,14,"Marvin Heights Public school, 7455 Redstone Rd, Mississauga"
39.0,Sun 10 Jul 2022,Pegasus VS. Paris Sunshine Scorecard,45,"A Field - Hanover Public School 215 Hanover Road, Brampton"
40.0,Sun 10 Jul 2022,11 Man Army VS. Wildfiya Scorecard,22,"Dorset Public School. 100 Dorset Drive, Brampton, ON L6T 2Y9"
41.0,Sun 10 Jul 2022,Spartans VS. Masters Scorecard,21,"Elia Middle School 215 Sentinel Rd, Toronto, ON."
